participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-058	remember	5	4	16729	16729	5	5	11111
sub-058	remember	13	5	2840137965469	28403	4	4	1111000000000
sub-058	remember	9	6	538201769	538120719	3	5	111000101
sub-058	remember	9	7	195307426	1950326	3	3	111000000
sub-058	remember	5	8	24819	24819	5	5	11111
sub-058	remember	5	9	54386	54386	5	5	11111
sub-058	remember	5	10	01568	01568	5	5	11111
sub-058	remember	13	11	4293701658764	40	1	1	1000000000000
sub-058	remember	9	12	165487902	165487902	9	9	111111111
sub-058	remember	13	13	8501496372019	8540912	2	2	1100000000000
sub-058	remember	9	14	987160452	98710462	4	4	111100000
sub-058	remember	13	15	5941837602174	5940132	3	4	1110010000000
sub-058	remember	5	22	54102	54102	5	5	11111
sub-058	remember	13	23	2869437501257	28496	2	3	1101000000000
sub-058	remember	13	24	0415362798162	0413568	3	4	1110010000000
sub-058	remember	13	25	2904837165358	2840	1	1	1000000000000
sub-058	remember	9	26	489507316	485073160	2	2	110000000
sub-058	remember	5	27	42860	428	3	3	11100
sub-058	remember	9	28	759286403	7592803	5	5	111110000
sub-058	remember	9	29	071856429	071856429	9	9	111111111
sub-058	remember	9	30	856209173	85602917	3	6	111001110
sub-058	remember	13	31	3214756089279	32107569379	3	6	1110111000000
sub-058	remember	5	32	04615	04615	5	5	11111
sub-058	remember	5	33	51073	51073	5	5	11111
sub-058	remember	13	40	7134520968586	7134509	5	5	1111100000000
sub-058	remember	5	41	83092	83902	2	3	11001
sub-058	remember	9	42	107429863	107429	6	6	111111000
sub-058	remember	13	43	4356180792394	4358	3	3	1110000000000
sub-058	remember	13	44	5420396178235	542093	4	4	1111000000000
sub-058	remember	9	45	286497031	28649371	5	5	111110000
sub-058	remember	5	46	28943	28943	5	5	11111
sub-058	remember	5	47	39762	39639672	2	2	11000
sub-058	remember	5	48	29056	29056	5	5	11111
sub-058	remember	9	49	273148609	28473	1	1	100000000
sub-058	remember	13	50	2384710956304	238471	6	6	1111110000000
sub-058	remember	9	51	034876192	0348769	6	6	111111000
sub-058	remember	5	58	18537	18537	5	5	11111
sub-058	remember	5	59	07926	07926	5	5	11111
sub-058	remember	9	60	427803519	452871	1	2	100100000
