participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-047	remember	9	4	965807314	96580314	5	5	111110000
sub-047	remember	5	5	79623	79623	5	5	11111
sub-047	remember	9	6	815764392	81656431	2	5	110011100
sub-047	remember	9	7	680374159	860315	0	2	001100000
sub-047	remember	5	8	53481	53481	5	5	11111
sub-047	remember	9	9	102865347	10285634	4	6	111100110
sub-047	remember	13	10	5609732481796	569305423	2	2	1100000000000
sub-047	remember	13	11	0853697421854	0853692314	6	6	1111110000000
sub-047	remember	5	12	96832	96832	5	5	11111
sub-047	remember	13	13	4276951308145	42795432	3	3	1110000000000
sub-047	remember	5	14	16075	16075	5	5	11111
sub-047	remember	13	15	0931786245103	90317846321	0	5	0011110000100
sub-047	remember	13	22	5302814679517	530812479234	3	4	1110001000000
sub-047	remember	9	23	890461237	64012347	0	1	001000000
sub-047	remember	5	24	98746	98746	5	5	11111
sub-047	remember	9	25	109538427	10953729	5	5	111110000
sub-047	remember	5	26	57926	57926	5	5	11111
sub-047	remember	9	27	187342950	1789230	1	1	100000000
sub-047	remember	5	28	23968	23968	5	5	11111
sub-047	remember	13	29	2915346087674	1925367214	0	3	0101100000000
sub-047	remember	5	30	07481	073481	2	2	11000
sub-047	remember	13	31	6052981347176	605293173742	5	7	1111101001000
sub-047	remember	13	32	2163897450746	12973864	0	1	0000000100000
sub-047	remember	9	33	376528091	3765801	4	4	111100000
sub-047	remember	5	40	53218	53218	5	5	11111
sub-047	remember	9	41	617904238	6172318	3	3	111000000
sub-047	remember	13	42	9031627485043	9013647324	2	4	1100101000000
sub-047	remember	13	43	9524876310451	95246718	4	5	1111010000000
sub-047	remember	5	44	51237	51237	5	5	11111
sub-047	remember	5	45	93270	93270	5	5	11111
sub-047	remember	5	46	79842	79842	5	5	11111
sub-047	remember	9	47	438605927	4680623	1	2	101000000
sub-047	remember	13	48	4102397865163	41023876513	5	6	1111101000000
sub-047	remember	9	49	418956372	4186532	3	4	111010000
sub-047	remember	13	50	3160249578459	4105328750	0	1	0100000000000
sub-047	remember	9	51	359860214	3596024	3	3	111000000
sub-047	remember	9	58	681079425	6817025	3	3	111000000
sub-047	remember	13	59	5246913087503	52461723	4	4	1111000000000
sub-047	remember	5	60	65130	65130	5	5	11111
sub-047	remember	13	61	8396127504054	831693540	2	4	1101000010000
sub-047	remember	5	62	41980	419870	4	4	11110
sub-047	remember	9	63	801632459	801234659	3	6	111010011
sub-047	remember	9	64	765401293	76541209	4	5	111100010
sub-047	remember	5	65	12970	12970	5	5	11111
sub-047	remember	13	66	5762304981856	5762306597320	6	6	1111110000000
sub-047	remember	9	67	234569071	234569301	6	7	111111001
sub-047	remember	5	68	52907	52970	3	3	11100
sub-047	remember	13	69	0396815724795	3096571	0	2	0011000000000
sub-047	remember	5	76	57683	57683	5	5	11111
sub-047	remember	5	77	97265	879365	0	1	01000
sub-047	remember	13	78	8790642153296	78790642532	0	3	0000000011100
sub-047	remember	9	79	943086157	9430735	4	4	111100000
sub-047	remember	13	80	7019534268234	79034572346	1	2	1000000100000
sub-047	remember	9	81	836217405	836214835	5	6	111110001
sub-047	remember	5	82	57083	57803	2	3	11001
sub-047	remember	5	83	45738	45738	5	5	11111
sub-047	remember	9	84	371524608	371528	5	5	111110000
sub-047	remember	9	85	143769825	1473526	2	2	110000000
sub-047	remember	13	86	7934208165867	39047356	0	2	0101000000000
sub-047	remember	13	87	1326879045031	1327890341	3	5	1110100010000
sub-047	remember	5	94	82615	82615	5	5	11111
sub-047	remember	9	95	605928143	60295234	2	4	110100010
sub-047	remember	5	96	89367	89367	5	5	11111
sub-047	remember	9	97	215793460	21957240	2	3	110000100
sub-047	remember	5	98	87246	87246	5	5	11111
sub-047	remember	5	99	78139	78139	5	5	11111
sub-047	remember	13	100	4952630718592	87539	0	1	0010000000000
sub-047	remember	13	101	3764918502845	3776491524	2	3	1100000100000
sub-047	remember	9	102	872615309	872649	4	4	111100000
sub-047	remember	13	103	6023915748712	602915812	3	3	1110000000000
sub-047	remember	13	104	2547039816374	25910679	2	3	1100100000000
sub-047	remember	9	105	107543629	1504913	1	1	100000000
sub-047	remember	9	112	591863027	5918362	4	4	111100000
sub-047	remember	9	113	594206178	5942678	4	4	111100000
sub-047	remember	5	114	27645	27645	5	5	11111
sub-047	remember	13	115	1627458930513	1624503	3	3	1110000000000
sub-047	remember	9	116	610547923	6104253	3	3	111000000
sub-047	remember	13	117	1706453289792	170453279	3	3	1110000000000
sub-047	remember	5	118	56732	56732	5	5	11111
sub-047	remember	5	119	25697	25697	5	5	11111
sub-047	remember	5	120	18562	18562	5	5	11111
sub-047	remember	13	121	3896574012104	39570123124	1	3	1000000011000
sub-047	remember	9	122	340826791	3480291	2	3	110010000
sub-047	remember	13	123	3642509187870	35920165898	1	4	1001000010100
sub-047	remember	9	130	508612497	508234901	3	3	111000000
sub-047	remember	13	131	3560248179679	3560291458	5	5	1111100000000
sub-047	remember	5	132	31068	31068	5	5	11111
sub-047	remember	5	133	86249	86249	5	5	11111
sub-047	remember	9	134	958102673	958913	3	3	111000000
sub-047	remember	5	135	91456	91456	5	5	11111
sub-047	remember	13	136	5641938270581	591287359	1	1	1000000000000
