participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-043	remember	5	4	84175	84175	5	5	11111
sub-043	remember	13	5	8043275961213	804975121	3	3	1110000000000
sub-043	remember	9	6	590318427	590484	3	3	111000000
sub-043	remember	13	7	8627531490650	8427561	1	5	1011101000000
sub-043	remember	9	8	452360918	45231698	4	5	111100100
sub-043	remember	5	9	28173	28173	5	5	11111
sub-043	remember	13	10	4169532870850	41532808	2	3	1100000100000
sub-043	remember	13	11	1079385462150	10958	2	2	1100000000000
sub-043	remember	5	12	48036	48036	5	5	11111
sub-043	remember	9	13	526708139	5670839	1	1	100000000
sub-043	remember	9	14	745162398	765164398	1	7	101110111
sub-043	remember	5	15	47239	47239	5	5	11111
sub-043	remember	9	22	968503724	963504	2	4	110110000
sub-043	remember	5	23	41035	41035	5	5	11111
sub-043	remember	5	24	07432	07432	5	5	11111
sub-043	remember	13	25	7316240589387	730624508	2	6	1101110010000
sub-043	remember	13	26	7648032591283	n/a	0	0	0000000000000
sub-043	remember	5	27	15089	15089	5	5	11111
sub-043	remember	9	28	562780341	560381	2	3	110010000
sub-043	remember	13	29	5473296810495	n/a	0	0	0000000000000
sub-043	remember	9	30	798523160	567349	0	0	000000000
sub-043	remember	9	31	805174326	804516	2	2	110000000
sub-043	remember	13	32	6027435819530	709283451	0	3	0100010010000
sub-043	remember	5	33	83167	831456	3	3	11100
sub-043	remember	5	40	67501	67501	5	5	11111
sub-043	remember	5	41	06389	60389	0	3	00111
sub-043	remember	9	42	370954182	37093564	4	4	111100000
sub-043	remember	13	43	8970235416012	897203	3	4	1110010000000
sub-043	remember	13	44	8643251970905	86432508	6	6	1111110000000
sub-043	remember	13	45	7349105862392	9734092	0	0	0000000000000
sub-043	remember	5	46	62753	62753	5	5	11111
sub-043	remember	9	47	021359467	03245937	1	3	100011000
sub-043	remember	9	48	618723450	61823450	3	3	111000000
sub-043	remember	5	49	30187	30187	5	5	11111
sub-043	remember	13	50	2410783695245	n/a	0	0	0000000000000
sub-043	remember	9	51	765309821	76531908	4	5	111101000
sub-043	remember	5	58	63852	63852	5	5	11111
sub-043	remember	9	59	254379680	235479680	1	6	100011111
sub-043	remember	13	60	2514368970607	2514367809	6	6	1111110000000
sub-043	remember	5	61	52413	25413	0	3	00111
sub-043	remember	9	62	524860137	25418017	0	3	001001100
sub-043	remember	5	63	16983	16983	5	5	11111
sub-043	remember	13	64	8697214035309	6987054397	0	2	0001001000000
sub-043	remember	13	65	2180739645726	21087	2	3	1100100000000
sub-043	remember	9	66	528703149	52870139	5	5	111110000
sub-043	remember	13	67	8962547301267	1267	0	1	0010000000000
sub-043	remember	9	68	458296307	4582697	4	4	111100000
sub-043	remember	5	69	08645	08645	5	5	11111
sub-043	remember	13	76	1054793268738	1065953068	2	5	1100001011000
sub-043	remember	5	77	93428	93428	5	5	11111
sub-043	remember	13	78	4692830175127	75721	0	1	0001000000000
sub-043	remember	9	79	501936478	504362798	2	3	110000001
sub-043	remember	13	80	7801639542148	7802461	3	3	1110000000000
sub-043	remember	9	81	275608149	257604329	1	4	100110001
sub-043	remember	9	82	976012853	769012387	0	3	000111000
sub-043	remember	5	83	54726	547246	4	4	11110
sub-043	remember	5	84	58271	58271	5	5	11111
sub-043	remember	13	85	2519467803790	251906780	4	8	1111011110000
sub-043	remember	9	86	396715028	39671	5	5	111110000
sub-043	remember	5	87	64230	624320	1	2	10010
sub-043	remember	13	94	8571693402056	02056	0	1	0000100000000
sub-043	remember	13	95	5938670412462	5936432	3	3	1110000000000
sub-043	remember	5	96	61725	61725	5	5	11111
sub-043	remember	9	97	819430752	814320	2	3	110001000
sub-043	remember	5	98	63490	634940	4	4	11110
sub-043	remember	5	99	29163	291463	3	3	11100
sub-043	remember	9	100	185349702	1845302	2	2	110000000
sub-043	remember	9	101	197450368	197452360	5	7	111110110
sub-043	remember	9	102	693812540	6938543206	4	5	111100001
sub-043	remember	13	103	2049178653684	24190434	1	2	1001000000000
sub-043	remember	5	104	18675	18675	5	5	11111
sub-043	remember	13	105	9087543621543	908765403	4	4	1111000000000
sub-043	remember	5	112	04516	04516	5	5	11111
sub-043	remember	13	113	9108526374760	6980327547437	0	1	0000010000000
sub-043	remember	5	114	24709	24709	5	5	11111
sub-043	remember	9	115	703195682	7031962	5	5	111110000
sub-043	remember	5	116	39728	39728	5	5	11111
sub-043	remember	9	117	803624197	8032649	3	4	111001000
sub-043	remember	9	118	578910462	579082	2	2	110000000
sub-043	remember	5	119	59024	59024	5	5	11111
sub-043	remember	13	120	4723109685073	47023456	2	3	1100000100000
sub-043	remember	13	121	3269840715863	156891	0	1	0010000000000
sub-043	remember	9	122	054628139	05462	5	5	111110000
sub-043	remember	13	123	3458719260387	345860137	4	4	1111000000000
sub-043	remember	13	130	8976032451584	896703245620	2	7	1100111110000
sub-043	remember	9	131	231465078	23145678	4	4	111100000
sub-043	remember	9	132	246951738	24567895123	2	2	110000000
sub-043	remember	9	133	408361957	40836	5	5	111110000
sub-043	remember	5	134	65213	65213	5	5	11111
sub-043	remember	9	135	794356028	7945318	3	3	111000000
sub-043	remember	13	136	1507896342731	131735801	1	2	1001000000000
sub-043	remember	13	137	8357419206318	8345678	2	2	1100000000000
sub-043	remember	5	138	49136	49136	5	5	11111
sub-043	remember	5	139	62501	62501	5	5	11111
sub-043	remember	5	140	08371	03871	1	3	10011
sub-043	remember	13	141	7516320948907	7516320	7	7	1111111000000
sub-043	remember	9	148	058149372	058142	5	5	111110000
sub-043	remember	5	149	16540	16540	5	5	11111
sub-043	remember	13	150	1730586429896	17305496	5	5	1111100000000
sub-043	remember	9	151	896470531	89640751	4	5	111100100
sub-043	remember	13	152	8235741096598	82479654	2	2	1100000000000
sub-043	remember	13	153	4927810635867	49376281	2	3	1101000000000
sub-043	remember	5	154	72381	72381	5	5	11111
sub-043	remember	5	155	80392	80392	5	5	11111
sub-043	remember	13	156	8956031247854	5623032956	0	2	0000110000000
sub-043	remember	9	157	390526417	3905247	5	5	111110000
sub-043	remember	9	158	185930746	1539568	1	2	100100000
sub-043	remember	5	159	91275	91275	5	5	11111
