participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-045	remember	5	4	70562	70562	5	5	11111
sub-045	remember	9	5	074629815	064815	1	2	101000000
sub-045	remember	5	6	20345	20345	5	5	11111
sub-045	remember	9	7	143278596	1345268	1	1	100000000
sub-045	remember	9	8	706953821	6052	0	1	010000000
sub-045	remember	13	9	7364215809453	73583	2	2	1100000000000
sub-045	remember	5	10	29087	29087	5	5	11111
sub-045	remember	13	11	8016794352749	8016794	7	7	1111111000000
sub-045	remember	13	12	2167943580612	210567794	2	2	1100000000000
sub-045	remember	5	13	31709	31709	5	5	11111
sub-045	remember	13	14	4572831609321	45780921	3	3	1110000000000
sub-045	remember	9	15	861527490	821690	1	2	101000000
sub-045	remember	13	22	1950267483163	195678913	3	3	1110000000000
sub-045	remember	9	23	146207538	1472058	2	4	110110000
sub-045	remember	5	24	64301	64301	5	5	11111
sub-045	remember	13	25	3201478965247	3217847	2	2	1100000000000
sub-045	remember	5	26	76580	76580	5	5	11111
sub-045	remember	13	27	4875312960470	481470	2	2	1100000000000
sub-045	remember	9	28	739640258	7364358	2	2	110000000
sub-045	remember	5	29	28135	28315	2	3	11001
sub-045	remember	9	30	683014729	6831029	3	3	111000000
sub-045	remember	5	31	61748	61748	5	5	11111
sub-045	remember	13	32	1672358490276	1672064	4	4	1111000000000
sub-045	remember	9	33	490371625	4930625	2	2	110000000
sub-045	remember	5	40	25134	25134	5	5	11111
sub-045	remember	9	41	724610895	62470815	0	2	011000000
sub-045	remember	5	42	74253	74253	5	5	11111
sub-045	remember	13	43	4178302965972	7835972	0	1	0000001000000
sub-045	remember	13	44	2087649315936	2089356	3	3	1110000000000
sub-045	remember	5	45	79308	79308	5	5	11111
sub-045	remember	9	46	430865972	43086570	6	6	111111000
sub-045	remember	13	47	1735890246576	1608356	1	1	1000000000000
sub-045	remember	5	48	43510	43510	5	5	11111
sub-045	remember	9	49	968234157	48951037	0	0	000000000
sub-045	remember	9	50	392841567	39281357	4	5	111100100
sub-045	remember	13	51	4017958236281	4538621	1	1	1000000000000
sub-045	remember	13	58	8745126039379	853179	1	1	1000000000000
sub-045	remember	13	59	6753019284621	6789261	2	2	1100000000000
sub-045	remember	5	60	35148	35148	5	5	11111
sub-045	remember	9	61	801653492	8016492	4	4	111100000
sub-045	remember	9	62	592308674	58364	1	1	100000000
sub-045	remember	5	63	17954	17954	5	5	11111
sub-045	remember	5	64	83025	83025	5	5	11111
sub-045	remember	9	65	978051423	9574023	1	1	100000000
sub-045	remember	13	66	4618359270671	483621	1	1	1000000000000
sub-045	remember	9	67	768954301	678301	0	1	001000000
sub-045	remember	13	68	8709536241907	83623196	1	1	1000000000000
sub-045	remember	5	69	19785	19785	5	5	11111
sub-045	remember	5	76	58760	58760	5	5	11111
sub-045	remember	5	77	60943	60943	5	5	11111
sub-045	remember	13	78	3751264089370	3698360	1	2	1000010000000
sub-045	remember	13	79	7145062389052	71852	2	3	1101000000000
sub-045	remember	13	80	1793502846068	17935079	6	6	1111110000000
sub-045	remember	9	81	809145726	890536	1	1	100000000
sub-045	remember	5	82	10348	10348	5	5	11111
sub-045	remember	13	83	7145269380203	71690203	2	3	1100000100000
sub-045	remember	9	84	104835962	183562	1	1	100000000
sub-045	remember	9	85	234059876	23405696	5	5	111110000
sub-045	remember	9	86	963827504	963854	4	4	111100000
sub-045	remember	5	87	65230	65230	5	5	11111
sub-045	remember	9	94	193640825	193825	3	3	111000000
sub-045	remember	9	95	163874529	183529	1	2	101000000
sub-045	remember	9	96	563978420	5639280	4	5	111101000
sub-045	remember	5	97	43912	43921	3	3	11100
sub-045	remember	13	98	8640571932839	86329	2	2	1100000000000
sub-045	remember	5	99	96705	96705	5	5	11111
sub-045	remember	13	100	3645178902082	369782	2	2	1100000000000
sub-045	remember	13	101	5782104369159	578519	3	4	1110100000000
sub-045	remember	5	102	43856	43856	5	5	11111
sub-045	remember	5	103	74903	74903	5	5	11111
sub-045	remember	9	104	784135296	7845136	3	3	111000000
sub-045	remember	13	105	8762095143219	8762489	4	4	1111000000000
sub-045	remember	13	112	1372950864167	1359237	2	2	1100000000000
sub-045	remember	13	113	6157289304136	6128136	2	2	1100000000000
sub-045	remember	9	114	518206473	647328	0	0	000000000
sub-045	remember	5	115	70539	61539	0	3	00111
sub-045	remember	5	116	18462	18642	2	3	11001
sub-045	remember	13	117	0487625913235	64352	0	1	0100000000000
sub-045	remember	9	118	872069345	87620345	2	2	110000000
sub-045	remember	9	119	176238904	1673264	1	1	100000000
sub-045	remember	13	120	6210435798341	628341	2	3	1100100000000
sub-045	remember	5	121	48279	4879	2	2	11000
sub-045	remember	9	122	729156830	7295810	3	3	111000000
sub-045	remember	5	123	83412	83412	5	5	11111
sub-045	remember	5	130	50483	55083	1	3	10011
sub-045	remember	9	131	753169480	75380	3	3	111000000
sub-045	remember	5	132	91246	91246	5	5	11111
sub-045	remember	9	133	653892104	653804	4	4	111100000
sub-045	remember	13	134	9837041526391	8736591	0	2	0010001000000
sub-045	remember	13	135	6275130948580	6278580	3	4	1110001000000
sub-045	remember	5	136	16294	16294	5	5	11111
sub-045	remember	5	137	42351	43251	1	3	10011
sub-045	remember	13	138	1870429563195	178940935	1	3	1000101000000
sub-045	remember	9	139	496073812	496082	4	4	111100000
sub-045	remember	9	140	138059462	183562	1	1	100000000
sub-045	remember	13	141	3870964125765	38765	3	3	1110000000000
sub-045	remember	13	148	0561384297960	05386960	2	2	1100000000000
sub-045	remember	13	149	8439652701648	843948	4	4	1111000000000
sub-045	remember	5	150	25314	25314	5	5	11111
sub-045	remember	9	151	587492306	5873456	3	3	111000000
sub-045	remember	5	152	48517	48517	5	5	11111
sub-045	remember	5	153	37952	37952	5	5	11111
sub-045	remember	9	154	649723581	64935681	3	3	111000000
sub-045	remember	9	155	986245731	986531	3	3	111000000
sub-045	remember	13	156	0546391782428	056428	2	2	1100000000000
sub-045	remember	13	157	1530782469691	1538693691	3	3	1110000000000
sub-045	remember	9	158	905138742	90578264	3	4	111000010
sub-045	remember	5	159	03261	03261	5	5	11111
