participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-082	remember	13	4	7403198265765	94803	0	1	0100000000000
sub-082	remember	9	5	142937608	14293	5	5	111110000
sub-082	remember	5	6	06315	06315	5	5	11111
sub-082	remember	5	7	64703	64703	5	5	11111
sub-082	remember	13	8	1560973824249	165097	1	4	1001110000000
sub-082	remember	5	9	78591	78591	5	5	11111
sub-082	remember	13	10	8039127564205	7890321	0	1	0000010000000
sub-082	remember	9	11	104362597	140329	1	2	100100000
sub-082	remember	5	12	17945	17945	5	5	11111
sub-082	remember	13	13	1859307264539	18930	2	2	1100000000000
sub-082	remember	9	14	869203154	86920	5	5	111110000
sub-082	remember	9	15	876043219	8064291	1	2	101000000
sub-082	remember	5	22	72508	72508	5	5	11111
sub-082	remember	5	23	53420	53420	5	5	11111
sub-082	remember	9	24	746259301	7462091	4	5	111101000
sub-082	remember	9	25	613784952	61738952	2	3	110010000
sub-082	remember	13	26	9175683402632	91754320	4	4	1111000000000
sub-082	remember	13	27	5604713829749	70431	0	0	0000000000000
sub-082	remember	13	28	3057628491071	3057	4	4	1111000000000
sub-082	remember	5	29	61978	61978	5	5	11111
sub-082	remember	5	30	95402	95402	5	5	11111
sub-082	remember	9	31	962041375	94602	1	2	100100000
sub-082	remember	13	32	5804162739704	670416	0	4	0011110000000
sub-082	remember	9	33	569473081	5463081	1	1	100000000
sub-082	remember	9	40	549617380	549671380	4	7	111100111
sub-082	remember	13	41	7268913054984	54984	0	1	0001000000000
sub-082	remember	5	42	35192	35192	5	5	11111
sub-082	remember	13	43	3196025847986	31529806	2	2	1100000000000
sub-082	remember	5	44	45386	453876	4	4	11110
sub-082	remember	13	45	9867352041231	983576103	2	3	1100000100000
sub-082	remember	9	46	964752038	963209628	2	3	110000001
sub-082	remember	9	47	346082957	4689537	0	0	000000000
sub-082	remember	9	48	568043729	54678320	1	2	100001000
sub-082	remember	5	49	46297	46297	5	5	11111
sub-082	remember	13	50	0647239851097	4610827	0	1	0100000000000
sub-082	remember	5	51	14026	46820	0	1	00010
sub-082	remember	5	58	82543	82543	5	5	11111
sub-082	remember	9	59	819762530	81963250	3	5	111001100
sub-082	remember	5	60	71268	71268	5	5	11111
sub-082	remember	13	61	0182943756038	016925308	2	3	1100001000000
sub-082	remember	13	62	2916437805145	296401	2	2	1100000000000
sub-082	remember	9	63	169207548	1469207	1	1	100000000
sub-082	remember	13	64	3072548196849	307251	5	5	1111100000000
sub-082	remember	13	65	0178624539306	01760893	3	3	1110000000000
