participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-081	remember	13	4	1429508376819	142805819	3	4	1110001000000
sub-081	remember	13	5	4978052361395	4709850	1	2	1000010000000
sub-081	remember	13	6	6730489125219	647285	1	1	1000000000000
sub-081	remember	9	7	371268095	3712851	4	4	111100000
sub-081	remember	9	8	028346517	02317856	2	3	110000100
sub-081	remember	5	9	59713	59713	5	5	11111
sub-081	remember	13	10	0354829167198	035142768	3	4	1110010000000
sub-081	remember	5	11	24107	24107	5	5	11111
sub-081	remember	5	12	62387	62387	5	5	11111
sub-081	remember	5	13	95132	95132	5	5	11111
sub-081	remember	9	14	451673902	4567920	2	2	110000000
sub-081	remember	9	15	038652791	0386702	4	4	111100000
sub-081	remember	9	22	826507314	8632514	1	1	100000000
sub-081	remember	9	23	169523847	1639257	2	3	110010000
sub-081	remember	5	24	81942	81942	5	5	11111
sub-081	remember	5	25	16097	16907	2	3	11001
sub-081	remember	5	26	21697	21697	5	5	11111
sub-081	remember	13	27	2463981507967	246385071	4	4	1111000000000
sub-081	remember	13	28	6897310425473	64787374	1	2	1000000100000
sub-081	remember	9	29	392650417	36942570	1	1	100000000
sub-081	remember	9	30	890316275	86300925	1	2	100000100
sub-081	remember	13	31	4263509718436	43602586426	1	2	1010000000000
sub-081	remember	13	32	4207165938250	426057320	2	2	1100000000000
sub-081	remember	5	33	13250	13250	5	5	11111
sub-081	remember	9	40	532798641	5379421	2	2	110000000
sub-081	remember	5	41	30521	3052112	5	5	11111
sub-081	remember	13	42	8253704961860	8325719860	1	3	1000100010000
sub-081	remember	5	43	41375	41375	5	5	11111
sub-081	remember	9	44	135072964	135794	3	3	111000000
sub-081	remember	9	45	679312508	6305798	1	1	100000000
sub-081	remember	13	46	3019862457275	36093175760	1	2	1001000000000
sub-081	remember	13	47	5217093846407	570364720	1	1	1000000000000
sub-081	remember	5	48	86379	8639	3	3	11100
sub-081	remember	9	49	397246850	3792840	1	2	100100000
sub-081	remember	13	50	0412985637915	039426075	1	1	1000000000000
sub-081	remember	5	51	74238	74328	2	3	11001
sub-081	remember	13	58	2036594718742	20378942	3	5	1110011000000
sub-081	remember	5	59	79256	79256	5	5	11111
sub-081	remember	5	60	93620	93620	5	5	11111
sub-081	remember	9	61	516249380	56321480	1	2	100100000
sub-081	remember	9	62	502678431	5162872	1	1	100000000
sub-081	remember	5	63	54690	54690	5	5	11111
sub-081	remember	13	64	2054698371985	205648209	3	3	1110000000000
sub-081	remember	5	65	03692	03692	5	5	11111
sub-081	remember	13	66	6593712480596	063256972	0	0	0000000000000
sub-081	remember	9	67	837405269	83757942	3	3	111000000
sub-081	remember	13	68	9205781643931	90278203	1	1	1000000000000
sub-081	remember	9	69	269048375	206843067	1	2	100010000
sub-081	remember	9	76	682315709	62870539	1	2	100001000
sub-081	remember	5	77	91378	91378	5	5	11111
sub-081	remember	5	78	36840	36840	5	5	11111
sub-081	remember	5	79	38419	38419	5	5	11111
sub-081	remember	13	80	0538742961658	03587042687	1	4	1001100010000
sub-081	remember	9	81	709163425	708163247	2	5	110111000
sub-081	remember	9	82	679014538	6790438	4	4	111100000
sub-081	remember	13	83	3598167024296	359672429	3	3	1110000000000
sub-081	remember	9	84	748239561	7487239	3	3	111000000
sub-081	remember	5	85	96317	96317	5	5	11111
sub-081	remember	13	86	9840726351804	986345093	2	2	1100000000000
sub-081	remember	13	87	4721586903054	472854246	3	4	1110100000000
sub-081	remember	9	94	241958307	54391287	0	2	010100000
sub-081	remember	5	95	61593	61953	2	3	11001
sub-081	remember	13	96	2045716389034	205742252	2	2	1100000000000
sub-081	remember	9	97	307851296	308572169	2	2	110000000
sub-081	remember	5	98	06497	06497	5	5	11111
sub-081	remember	5	99	95361	95631	2	3	11001
sub-081	remember	13	100	7068214395921	7092569297	2	3	1100000010000
sub-081	remember	13	101	5248361097128	52462812791	3	5	1110001000100
sub-081	remember	5	102	28176	28176	5	5	11111
sub-081	remember	9	103	623745819	6273485	2	3	110010000
sub-081	remember	9	104	439201587	43925785	4	4	111100000
sub-081	remember	13	105	8135492076319	813549628	6	6	1111110000000
sub-081	remember	13	112	6329107845956	7632914859	0	1	0000000100000
sub-081	remember	5	113	30956	30956	5	5	11111
sub-081	remember	13	114	5410968732760	54196580680	3	4	1110001000000
sub-081	remember	9	115	514697802	51467982	4	5	111100100
sub-081	remember	5	116	97205	97205	5	5	11111
sub-081	remember	5	117	70893	70893	5	5	11111
sub-081	remember	9	118	672491538	769258	0	0	000000000
sub-081	remember	9	119	207195384	20713854	4	4	111100000
sub-081	remember	5	120	64812	64812	5	5	11111
sub-081	remember	9	121	045968172	06952412	1	2	100000100
sub-081	remember	13	122	4971306258594	407858543	1	2	1010000000000
sub-081	remember	13	123	8154970263681	463286860487	0	0	0000000000000
sub-081	remember	13	130	2589036147860	258630278	3	3	1110000000000
sub-081	remember	9	131	874631259	876312597	2	2	110000000
sub-081	remember	5	132	67392	67392	5	5	11111
sub-081	remember	13	133	9157830624165	978135648	1	1	1000000000000
sub-081	remember	9	134	128475936	1287456	3	4	111001000
sub-081	remember	5	135	13985	13985	5	5	11111
sub-081	remember	13	136	0271368954130	034728340	1	1	1000000000000
sub-081	remember	13	137	4691753082168	463781568	2	3	1100000010000
sub-081	remember	9	138	026179358	026179853	6	7	111111010
sub-081	remember	5	139	06932	06932	5	5	11111
sub-081	remember	5	140	19842	19842	5	5	11111
sub-081	remember	9	141	675823190	6752908	3	3	111000000
sub-081	remember	9	148	241057389	2410578	6	6	111111000
sub-081	remember	9	149	732569804	7362580306	2	2	110000000
sub-081	remember	9	150	178650492	178656032	5	6	111110001
sub-081	remember	13	151	3092874156768	30928736307	6	7	1111110000100
sub-081	remember	5	152	80915	80975	3	4	11101
sub-081	remember	5	153	60937	60937	5	5	11111
sub-081	remember	5	154	57403	50743	1	2	10001
sub-081	remember	13	155	8415329760402	8413804	3	3	1110000000000
sub-081	remember	9	156	697420581	67942087	1	4	100111000
sub-081	remember	13	157	4081397256871	40872541	3	3	1110000000000
sub-081	remember	13	158	7891523064947	459784312748	0	2	0010001000000
sub-081	remember	5	159	53271	53271	5	5	11111
