participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-093	remember	13	4	3107549268370	3780547890	1	3	1000110000000
sub-093	remember	9	5	149370826	1493708960	7	8	111111101
sub-093	remember	13	6	9876354210274	9836548704	2	3	1101000000000
sub-093	remember	13	7	0417926835274	0471928024	2	4	1100110000000
sub-093	remember	5	8	68405	60405	1	4	10111
sub-093	remember	5	9	25980	25980	5	5	11111
sub-093	remember	13	10	3640218975943	364021898360	8	8	1111111100000
sub-093	remember	9	11	026584719	02689709	3	3	111000000
sub-093	remember	9	12	781034569	7810345689	8	8	111111110
sub-093	remember	5	13	97651	97651	5	5	11111
sub-093	remember	9	14	937052816	937503896	3	5	111000101
sub-093	remember	5	15	20384	20384	5	5	11111
sub-093	remember	9	22	243698715	24378951	3	4	111000010
sub-093	remember	9	23	867153420	86754310	3	4	111001000
sub-093	remember	13	24	4596702381751	459608129853	4	4	1111000000000
sub-093	remember	13	25	1675239480648	1675236873893	6	6	1111110000000
sub-093	remember	13	26	8751206934801	8751203670358	6	6	1111110000000
sub-093	remember	13	27	2471305698037	24623059637	2	5	1100111000000
sub-093	remember	5	28	39751	39751	5	5	11111
sub-093	remember	5	29	13728	13728	5	5	11111
sub-093	remember	9	30	154732089	154372859	3	5	111001001
sub-093	remember	5	31	47136	47316	2	3	11001
sub-093	remember	9	32	681945307	46813597	0	1	000001000
sub-093	remember	5	33	01975	01975	5	5	11111
sub-093	remember	9	40	520849736	520849367	6	6	111111000
sub-093	remember	9	41	650714893	650783148	4	4	111100000
sub-093	remember	13	42	8540719263592	75430879152	0	2	0110000000000
sub-093	remember	9	43	345987062	3459870465	7	7	111111100
sub-093	remember	13	44	7912056483134	7912053634	6	6	1111110000000
sub-093	remember	9	45	731645029	731643802	5	5	111110000
sub-093	remember	5	46	76489	76489	5	5	11111
sub-093	remember	5	47	47298	47298	5	5	11111
sub-093	remember	13	48	7219364085754	7219670854	4	4	1111000000000
sub-093	remember	5	49	95108	95108	5	5	11111
sub-093	remember	13	50	8635417920710	8643510	2	3	1100010000000
sub-093	remember	5	51	64539	6435319	2	2	11000
sub-093	remember	13	58	2354607918671	237654301	2	3	1100000010000
sub-093	remember	5	59	45038	45038	5	5	11111
sub-093	remember	5	60	73012	73012	5	5	11111
sub-093	remember	9	61	469387521	439785321	1	5	101010011
sub-093	remember	13	62	4720398651917	47203568769601	5	6	1111100000100
sub-093	remember	13	63	1056428937810	1065436798010	2	5	1100100000011
sub-093	remember	9	64	513498672	51439862	2	5	110011100
sub-093	remember	9	65	914037286	943106276	1	3	100000101
sub-093	remember	5	66	18056	18056	5	5	11111
sub-093	remember	13	67	5687049312807	568704537	6	7	1111110100000
sub-093	remember	5	68	02413	02413	5	5	11111
sub-093	remember	9	69	157902683	157902683	9	9	111111111
sub-093	remember	5	76	21845	21845	5	5	11111
sub-093	remember	13	77	9168240735650	916810295	4	4	1111000000000
sub-093	remember	13	78	1739605284820	173960280	6	6	1111110000000
sub-093	remember	9	79	943701625	934701532	1	4	100111000
sub-093	remember	13	80	6153897024356	6153601953	4	4	1111000000000
sub-093	remember	5	81	87961	87961	5	5	11111
sub-093	remember	9	82	943218756	943218756	9	9	111111111
sub-093	remember	5	83	59376	59376	5	5	11111
sub-093	remember	9	84	072653149	072560429	3	4	111000001
sub-093	remember	9	85	960745318	9607435978	5	5	111110000
sub-093	remember	13	86	5649328107976	5649350967208	5	6	1111100001000
sub-093	remember	5	87	98452	98452	5	5	11111
sub-093	remember	9	94	071428953	071289523	3	4	111000001
sub-093	remember	13	95	0387526194794	0787532057235	1	4	1011100000000
sub-093	remember	13	96	7018296354129	70182945763	6	6	1111110000000
sub-093	remember	13	97	7961453802639	76931520469	1	2	1000010000000
sub-093	remember	9	98	673102854	673102574	6	7	111111001
sub-093	remember	5	99	74239	74239	5	5	11111
sub-093	remember	9	100	693572814	637592089	1	3	100101000
sub-093	remember	5	101	37915	37915	5	5	11111
sub-093	remember	9	102	037465918	03756402398	3	4	111010000
sub-093	remember	13	103	5138294760408	573015678	1	3	1010000100000
sub-093	remember	5	104	09148	09148	5	5	11111
sub-093	remember	5	105	86357	86357	5	5	11111
sub-093	remember	13	112	3106489527081	3106487895310621	6	6	1111110000000
sub-093	remember	5	113	09831	09831	5	5	11111
sub-093	remember	5	114	13708	13708	5	5	11111
sub-093	remember	5	115	37208	37208	5	5	11111
sub-093	remember	9	116	167085932	1673085192	3	3	111000000
sub-093	remember	13	117	2671945083651	26791035438	3	4	1110000001000
sub-093	remember	9	118	146827305	1468345903725	4	4	111100000
sub-093	remember	9	119	825179046	85214876	1	2	100100000
sub-093	remember	5	120	74821	74821	5	5	11111
sub-093	remember	13	121	4372051896287	43721057	4	4	1111000000000
sub-093	remember	9	122	236498105	236498105	9	9	111111111
sub-093	remember	13	123	3207456189160	3279054740	2	3	1100010000000
sub-093	remember	13	130	6014879532641	604987651	2	5	1100110100000
sub-093	remember	13	131	2587603194618	2587603157898	8	9	1111111100001
sub-093	remember	13	132	8613954072035	86139873595	5	5	1111100000000
sub-093	remember	5	133	26103	26103	5	5	11111
sub-093	remember	5	134	52138	52138	5	5	11111
sub-093	remember	5	135	57819	57819	5	5	11111
sub-093	remember	13	136	9513687240892	9513687912	7	7	1111111000000
sub-093	remember	9	137	389614257	398614267	1	6	100111101
sub-093	remember	5	138	23498	23498	5	5	11111
sub-093	remember	9	139	109462835	109642895	3	6	111001101
sub-093	remember	9	140	934612507	934612597	7	8	111111101
sub-093	remember	9	141	265948701	265948720	7	7	111111100
sub-093	remember	9	148	916857034	96158710539	1	2	100001000
sub-093	remember	5	149	76302	76302	5	5	11111
sub-093	remember	5	150	37865	37865	5	5	11111
sub-093	remember	5	151	20791	20791	5	5	11111
sub-093	remember	9	152	427185903	42718593	7	7	111111100
sub-093	remember	13	153	0912348756201	0192368701901	1	7	1001101100011
sub-093	remember	9	154	941583672	91435863712	1	2	100000100
sub-093	remember	13	155	7810394526576	7810936753	4	4	1111000000000
sub-093	remember	13	156	7153429068345	715342608435	6	8	1111110100100
sub-093	remember	9	157	356708429	356708429	9	9	111111111
sub-093	remember	13	158	0324617589735	0364526879	2	4	1101000001000
sub-093	remember	5	159	17593	17593	5	5	11111
