participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-031	remember	5	4	98563	987653	2	3	11010
sub-031	remember	5	5	45763	45763	5	5	11111
sub-031	remember	9	6	675089421	67508941	7	7	111111100
sub-031	remember	9	7	375190248	375901	3	3	111000000
sub-031	remember	13	8	7685430219046	765081	2	2	1100000000000
sub-031	remember	5	9	49321	49321	5	5	11111
sub-031	remember	5	10	25097	25097	5	5	11111
sub-031	remember	13	11	6723948510863	863	0	0	0000000000000
sub-031	remember	9	12	648159307	648159	6	6	111111000
sub-031	remember	9	13	369054287	369054	6	6	111111000
sub-031	remember	13	14	3014968527457	319024	1	1	1000000000000
sub-031	remember	13	15	4560293187642	459061432	2	3	1101000000000
sub-031	remember	13	22	1045397268519	105439	2	4	1100110000000
sub-031	remember	9	23	278140396	278430	3	4	111001000
sub-031	remember	5	24	15608	15608	5	5	11111
sub-031	remember	5	25	69873	69873	5	5	11111
sub-031	remember	9	26	941036728	943068	2	3	110100000
sub-031	remember	13	27	7260831495817	726083	6	6	1111110000000
sub-031	remember	13	28	5872694310902	597861	1	3	1010100000000
sub-031	remember	9	29	176534902	1765340	6	6	111111000
sub-031	remember	5	30	98267	98267	5	5	11111
sub-031	remember	13	31	4216570893683	475601	1	2	1001000000000
sub-031	remember	5	32	01427	0472	1	2	10010
sub-031	remember	9	33	768293150	7682931	7	7	111111100
sub-031	remember	13	40	6258049137574	65908195	1	2	1000001000000
sub-031	remember	5	41	36271	36271	5	5	11111
sub-031	remember	13	42	3265814709013	362851	1	2	1000010000000
sub-031	remember	5	43	53481	53481	5	5	11111
sub-031	remember	9	44	967350248	937650	1	4	101011000
sub-031	remember	9	45	946057312	945601932	2	3	110000001
sub-031	remember	5	46	61573	61573	5	5	11111
sub-031	remember	5	47	71256	71256	5	5	11111
sub-031	remember	9	48	401839726	4810936	1	2	101000000
sub-031	remember	13	49	3624970851865	93605	0	0	0000000000000
sub-031	remember	9	50	829431065	84965	1	2	101000000
sub-031	remember	13	51	8349617520497	839451	2	3	1100010000000
