participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-053	remember	9	4	152380967	15230968	4	4	111100000
sub-053	remember	9	5	854067293	8503479	2	3	110001000
sub-053	remember	13	6	4213658097107	4230697	2	3	1100100000000
sub-053	remember	9	7	964723850	96423850	3	3	111000000
sub-053	remember	13	8	1032458697504	4210358	0	2	0000011000000
sub-053	remember	13	9	2910736845269	290736459	2	2	1100000000000
sub-053	remember	5	10	20746	20746	5	5	11111
sub-053	remember	9	11	017298456	0278946	1	3	101010000
sub-053	remember	5	12	83710	83070	2	3	11001
sub-053	remember	5	13	69374	690374	2	2	11000
sub-053	remember	13	14	2761804953693	270846594	2	3	1100000100000
sub-053	remember	5	15	79563	79563	5	5	11111
sub-053	remember	5	22	86279	8627	4	4	11110
sub-053	remember	5	23	42138	42138	5	5	11111
sub-053	remember	9	24	418029657	4102865	2	2	110000000
sub-053	remember	5	25	85064	85064	5	5	11111
sub-053	remember	13	26	4127950683256	42169782	1	2	1000100000000
sub-053	remember	13	27	5427301698074	5407324	2	4	1101100000000
sub-053	remember	5	28	71438	72438	1	4	10111
sub-053	remember	9	29	706984213	7098263	2	2	110000000
sub-053	remember	9	30	349705261	3490561	3	3	111000000
sub-053	remember	13	31	1306459827478	1036548	1	2	1001000000000
sub-053	remember	13	32	8729105634096	8720936	3	3	1110000000000
sub-053	remember	9	33	612954870	615490	2	2	110000000
sub-053	remember	9	40	806154327	8065438	3	3	111000000
sub-053	remember	13	41	0639514728042	063923	4	4	1111000000000
sub-053	remember	13	42	2304897156498	23048915	6	6	1111110000000
sub-053	remember	5	43	38709	38079	2	3	11001
sub-053	remember	9	44	413256978	41325698	7	7	111111100
sub-053	remember	5	45	27486	27486	5	5	11111
sub-053	remember	5	46	02516	02516	5	5	11111
sub-053	remember	9	47	629057341	650421	1	1	100000000
sub-053	remember	13	48	8954032761053	8049532	1	3	1000011000000
sub-053	remember	13	49	6412307985173	642304	2	2	1100000000000
sub-053	remember	5	50	15690	15690	5	5	11111
sub-053	remember	9	51	148630957	1460357	2	3	110010000
sub-053	remember	5	58	05182	05182	5	5	11111
sub-053	remember	13	59	9571386204153	95713845	6	6	1111110000000
sub-053	remember	13	60	5031689724837	516387	1	1	1000000000000
sub-053	remember	9	61	035764218	0564138	1	1	100000000
sub-053	remember	5	62	81937	81937	5	5	11111
sub-053	remember	9	63	625709318	6250378	3	3	111000000
sub-053	remember	9	64	892075341	8950731	2	4	110110000
sub-053	remember	5	65	24608	24608	5	5	11111
sub-053	remember	9	66	346018297	3460817	4	4	111100000
sub-053	remember	13	67	7230956184586	7320976	1	4	1001101000000
sub-053	remember	5	68	48179	48179	5	5	11111
sub-053	remember	13	69	1620387459527	16230872	3	5	1110011000000
sub-053	remember	9	76	104625978	10462598	7	7	111111100
sub-053	remember	5	77	81502	81502	5	5	11111
sub-053	remember	5	78	28340	28340	5	5	11111
sub-053	remember	9	79	105362497	105362987	6	7	111111001
sub-053	remember	5	80	79402	79402	5	5	11111
sub-053	remember	13	81	6089315472108	60854238	3	3	1110000000000
sub-053	remember	5	82	14076	14076	5	5	11111
