participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-071	remember	5	4	27859	27859	5	5	11111
sub-071	remember	5	5	25941	25941	5	5	11111
sub-071	remember	13	6	5261784093684	52	2	2	1100000000000
sub-071	remember	13	7	6457130298759	6457130	7	7	1111111000000
sub-071	remember	13	8	6509483721315	6509	4	4	1111000000000
sub-071	remember	9	9	401285367	401245	4	5	111101000
sub-071	remember	13	10	1438259607685	14382	5	5	1111100000000
sub-071	remember	9	11	236785940	23678	5	5	111110000
sub-071	remember	9	12	397104265	39710	5	5	111110000
sub-071	remember	5	13	12403	12403	5	5	11111
sub-071	remember	9	14	217403596	21740	5	5	111110000
sub-071	remember	5	15	28316	28316	5	5	11111
sub-071	remember	9	22	780239654	7802396	7	7	111111100
sub-071	remember	5	23	28405	28405	5	5	11111
sub-071	remember	5	24	39671	39671	5	5	11111
sub-071	remember	13	25	7849623150762	784	3	3	1110000000000
sub-071	remember	13	26	3198527064389	319852	6	6	1111110000000
sub-071	remember	9	27	143025697	143025	6	6	111111000
sub-071	remember	5	28	98064	98064	5	5	11111
sub-071	remember	13	29	3905478126764	390	3	3	1110000000000
sub-071	remember	5	30	49385	49385	5	5	11111
sub-071	remember	13	31	2390546718921	2390546	7	7	1111111000000
sub-071	remember	9	32	906341785	906	3	3	111000000
sub-071	remember	9	33	806917524	806917	6	6	111111000
sub-071	remember	5	40	94180	94180	5	5	11111
sub-071	remember	5	41	20397	20397	5	5	11111
sub-071	remember	13	42	7368915240483	73	2	2	1100000000000
sub-071	remember	5	43	40397	40397	5	5	11111
sub-071	remember	9	44	840765139	840765	6	6	111111000
sub-071	remember	13	45	2976403815156	297	3	3	1110000000000
sub-071	remember	13	46	4928106753297	49280	4	4	1111000000000
sub-071	remember	9	47	356912804	356912	6	6	111111000
sub-071	remember	9	48	589324617	589354	4	5	111101000
sub-071	remember	9	49	648379051	64387	2	3	110010000
sub-071	remember	5	50	46319	46319	5	5	11111
sub-071	remember	13	51	5978304621902	59	2	2	1100000000000
sub-071	remember	5	58	93574	93574	5	5	11111
sub-071	remember	13	59	0298756143208	0928	1	2	1001000000000
sub-071	remember	9	60	853120946	85312	5	5	111110000
sub-071	remember	5	61	51064	51064	5	5	11111
sub-071	remember	9	62	395681704	39568	5	5	111110000
sub-071	remember	9	63	279815304	279815	6	6	111111000
sub-071	remember	5	64	67142	67142	5	5	11111
sub-071	remember	13	65	7960284531753	79	2	2	1100000000000
sub-071	remember	13	66	6518274039361	6518	4	4	1111000000000
sub-071	remember	5	67	39058	39058	5	5	11111
sub-071	remember	13	68	2740598361367	2740	4	4	1111000000000
sub-071	remember	9	69	739051684	93590	0	1	010000000
sub-071	remember	5	76	18354	18354	5	5	11111
sub-071	remember	13	77	1902387645468	190238	6	6	1111110000000
sub-071	remember	13	78	2957346108350	29573	5	5	1111100000000
sub-071	remember	5	79	56043	56043	5	5	11111
sub-071	remember	9	80	315907486	315907	6	6	111111000
sub-071	remember	9	81	902465718	9024	4	4	111100000
sub-071	remember	9	82	917460532	91740	4	4	111100000
sub-071	remember	5	83	39184	39184	5	5	11111
sub-071	remember	9	84	764285931	76428	5	5	111110000
sub-071	remember	13	85	6982340175691	698234	6	6	1111110000000
sub-071	remember	5	86	48906	49806	1	3	10011
sub-071	remember	13	87	0543129786246	054312	6	6	1111110000000
sub-071	remember	13	94	9162473850806	916247	6	6	1111110000000
sub-071	remember	5	95	96032	96032	5	5	11111
sub-071	remember	5	96	43108	43108	5	5	11111
sub-071	remember	5	97	51974	51974	5	5	11111
sub-071	remember	13	98	0893621574547	089362	6	6	1111110000000
sub-071	remember	9	99	718950632	7198	2	2	110000000
sub-071	remember	9	100	814306957	81430	5	5	111110000
sub-071	remember	13	101	9726083415025	972	3	3	1110000000000
sub-071	remember	5	102	08564	08564	5	5	11111
sub-071	remember	9	103	849637521	849	3	3	111000000
