participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-013	remember	9	4	761092354	7610926	6	6	111111000
sub-013	remember	5	5	12580	12580	5	5	11111
sub-013	remember	9	6	415279086	41250768	2	3	110000010
sub-013	remember	5	7	90143	90143	5	5	11111
sub-013	remember	9	8	495720638	490758	2	3	110100000
sub-013	remember	9	9	940815673	940563	3	3	111000000
sub-013	remember	13	10	3078216594153	3078157	4	4	1111000000000
sub-013	remember	13	11	9347068125754	9037594	1	2	1001000000000
sub-013	remember	13	12	4937826150237	49302179	3	3	1110000000000
sub-013	remember	5	13	06741	06741	5	5	11111
sub-013	remember	13	14	0579468321201	05792129	4	4	1111000000000
sub-013	remember	5	15	34561	34561	5	5	11111
sub-013	remember	5	22	42683	42683	5	5	11111
sub-013	remember	9	23	416058972	40615897	1	6	101011110
sub-013	remember	5	24	73521	73521	5	5	11111
sub-013	remember	13	25	7193658240467	7350151	1	2	1000010000000
sub-013	remember	9	26	954160873	90541813	1	1	100000000
sub-013	remember	5	27	72065	72065	5	5	11111
sub-013	remember	13	28	0137564892653	0651453	1	1	1000000000000
sub-013	remember	9	29	526413980	05214930	0	0	000000000
sub-013	remember	13	30	1830924756293	18302913	4	4	1111000000000
sub-013	remember	13	31	0178463529659	0105261309	2	4	1100010001000
sub-013	remember	9	32	178064392	1783061	3	3	111000000
sub-013	remember	5	33	67095	760935	0	2	00110
sub-013	remember	13	40	3917504286753	3910753	3	3	1110000000000
sub-013	remember	9	41	976241083	396108	0	1	001000000
sub-013	remember	13	42	3948675012945	3940219	3	3	1110000000000
sub-013	remember	13	43	8145320697507	389070139	0	1	0000000010000
sub-013	remember	5	44	59381	59381	5	5	11111
sub-013	remember	9	45	916035487	390617	0	0	000000000
sub-013	remember	13	46	9461370285162	3905692	0	0	0000000000000
sub-013	remember	9	47	619730285	9306195	0	0	000000000
sub-013	remember	5	48	76451	76495	3	3	11100
sub-013	remember	9	49	625987340	89014	0	0	000000000
sub-013	remember	5	50	56801	56801	5	5	11111
sub-013	remember	5	51	79241	7921403	3	3	11100
sub-013	remember	13	58	1623579804854	162053453	3	4	1110100000000
sub-013	remember	9	59	649532078	64350698	2	3	110100000
sub-013	remember	5	60	86910	869310	3	3	11100
sub-013	remember	9	61	428517693	48063913	1	1	100000000
sub-013	remember	13	62	8026794513490	804391603	2	2	1100000000000
sub-013	remember	9	63	814620735	805341702	1	2	100000100
sub-013	remember	5	64	80164	81064	1	3	10011
sub-013	remember	5	65	86453	86453	5	5	11111
sub-013	remember	5	66	39241	394213	2	3	11001
sub-013	remember	13	67	9062457381319	9034157	2	4	1100011000000
sub-013	remember	13	68	0475936812782	065731202	1	1	1000000000000
sub-013	remember	9	69	091428576	091245816	3	4	111000001
sub-013	remember	5	76	40856	48056	1	3	10011
sub-013	remember	13	77	2576834910260	0543581041	0	1	0100000000000
sub-013	remember	5	78	94765	943765	2	2	11000
sub-013	remember	5	79	68402	943602	0	0	00000
sub-013	remember	9	80	693781452	93604532	0	0	000000000
sub-013	remember	9	81	067541238	0365418	1	4	100111000
sub-013	remember	13	82	7845123069096	9405349536	0	1	0001000000000
sub-013	remember	9	83	573912084	57932104	2	3	110000100
sub-013	remember	13	84	0931426578156	0934056	3	4	1110001000000
sub-013	remember	13	85	1427356089784	142057842	3	3	1110000000000
sub-013	remember	5	86	97506	97506	5	5	11111
sub-013	remember	9	87	580637249	568926	1	1	100000000
sub-013	remember	9	94	416825903	41265013	2	2	110000000
sub-013	remember	13	95	0864529731528	0953705318	1	1	1000000000000
sub-013	remember	9	96	672954018	62719058	1	1	100000000
sub-013	remember	5	97	60873	60873	5	5	11111
sub-013	remember	9	98	392587461	7503813	0	1	000010000
sub-013	remember	5	99	72860	72680	2	3	11001
sub-013	remember	13	100	4817690523074	47250387	1	1	1000000000000
sub-013	remember	13	101	3621745089634	360586413	2	2	1100000000000
sub-013	remember	9	102	984170352	9846512	3	3	111000000
sub-013	remember	13	103	1247395068671	120781	2	3	1101000000000
sub-013	remember	5	104	62805	62805	5	5	11111
sub-013	remember	5	105	53178	53178	5	5	11111
sub-013	remember	13	112	2140683957425	21069314	2	2	1100000000000
sub-013	remember	13	113	4728935160724	4702148	2	2	1100000000000
sub-013	remember	9	114	058937126	059816	2	2	110000000
sub-013	remember	9	115	518304972	56913812	1	1	100000000
sub-013	remember	5	116	25193	5913	0	1	00100
sub-013	remember	5	117	93865	93865	5	5	11111
sub-013	remember	13	118	1072658943192	10794012	3	3	1110000000000
sub-013	remember	9	119	569380124	5693814	5	5	111110000
sub-013	remember	5	120	56082	56982	2	4	11011
sub-013	remember	13	121	9613058247479	963021747960	2	2	1100000000000
sub-013	remember	9	122	168045972	1690492	2	4	110110000
sub-013	remember	5	123	18327	18327	5	5	11111
sub-013	remember	5	130	26971	26971	5	5	11111
sub-013	remember	5	131	36592	36972	2	3	11001
sub-013	remember	13	132	4187230965651	48076215865	1	2	1001000000000
sub-013	remember	9	133	810463975	81093415	3	3	111000000
sub-013	remember	5	134	87305	83705	1	3	10011
sub-013	remember	13	135	0162859734532	89043202	0	0	0000000000000
sub-013	remember	9	136	241983570	2435710	2	2	110000000
sub-013	remember	5	137	62391	62391	5	5	11111
sub-013	remember	13	138	6945832071821	693407327018	2	3	1100000010000
sub-013	remember	9	139	104253697	10423907	4	4	111100000
sub-013	remember	9	140	730624915	7390615	2	2	110000000
sub-013	remember	13	141	4786193052901	4609129	1	2	1000100000000
sub-013	remember	13	148	2670954138367	2670534241756	4	5	1111001000000
sub-013	remember	13	149	4190532867256	4602545613	1	2	1000100000000
sub-013	remember	9	150	395260748	39452608	2	2	110000000
sub-013	remember	5	151	04198	046918	2	3	11010
sub-013	remember	5	152	34251	34251	5	5	11111
sub-013	remember	9	153	807423591	8254931	1	3	100101000
sub-013	remember	9	154	278106349	27805691	3	4	111001000
sub-013	remember	13	155	5672480319576	5623178953	2	2	1100000000000
sub-013	remember	13	156	8924105763741	8924375721	4	6	1111001100000
sub-013	remember	9	157	230147958	23056958	3	3	111000000
sub-013	remember	5	158	04639	04659	3	4	11101
sub-013	remember	5	159	02916	05916	1	4	10111
