participant_id	task	condition	trial	sequence	response	NCorrect	partialScore	triggerCorrect
sub-020	remember	5	4	95268	95268	5	5	11111
sub-020	remember	5	5	42065	42065	5	5	11111
sub-020	remember	5	6	90845	90845	5	5	11111
sub-020	remember	9	7	068974125	06897415	7	7	111111100
sub-020	remember	13	8	8103596742350	810396541240	4	5	1111000001000
sub-020	remember	5	9	74156	74156	5	5	11111
sub-020	remember	13	10	5862740913168	58296410918	2	3	1100010000000
sub-020	remember	9	11	896025371	896023571	5	7	111110011
sub-020	remember	9	12	614375980	93435680	0	2	001100000
sub-020	remember	9	13	168352470	314352170	0	5	000111011
sub-020	remember	13	14	4750319862460	43756034760	1	1	1000000000000
sub-020	remember	13	15	7098231645458	70985915178	4	5	1111001000000
sub-020	remember	13	22	2781396054083	27813948	6	6	1111110000000
sub-020	remember	13	23	8471592630247	8417593219	2	4	1100110000000
sub-020	remember	9	24	285067413	285067447	7	7	111111100
sub-020	remember	5	25	50473	50473	5	5	11111
sub-020	remember	5	26	50469	504769	3	3	11100
sub-020	remember	5	27	74125	74125	5	5	11111
sub-020	remember	5	28	50134	50134	5	5	11111
sub-020	remember	9	29	136487509	13654710	3	5	111001010
sub-020	remember	9	30	391086472	394718392	2	3	110000001
sub-020	remember	13	31	4187365209165	4718752132	1	1	1000000000000
sub-020	remember	9	32	732019485	732109715	3	5	111001001
sub-020	remember	13	33	4591208763037	47512078630512	1	7	1001110011100
sub-020	remember	13	40	4873065219702	478073802	1	1	1000000000000
sub-020	remember	5	41	32896	32806	3	4	11101
sub-020	remember	9	42	365928714	3659287142	9	9	111111111
sub-020	remember	13	43	2951876034691	29581650981	3	4	1110000100000
sub-020	remember	5	44	67451	67451	5	5	11111
sub-020	remember	5	45	82471	82471	5	5	11111
sub-020	remember	5	46	36174	36174	5	5	11111
sub-020	remember	13	47	5347206189370	3547210350	0	3	0011100000000
sub-020	remember	9	48	582436197	58245716	4	5	111100100
sub-020	remember	13	49	9720864351351	970845678402	2	2	1100000000000
sub-020	remember	9	50	048193257	048194725	5	5	111110000
sub-020	remember	9	51	572416839	567214859	1	4	100010101
sub-020	remember	9	58	459278036	4592782196	6	6	111111000
